Time,Starthour,Endhour,Unit,Data
2023-03-18,09:30,09:45,MW,287.98
2023-03-18,09:45,10:00,MW,138.936
2023-03-18,10:00,10:15,MW,32.096
2023-03-18,10:15,10:30,MW,45.796
2023-03-18,10:30,10:45,MW,176.996
2023-03-18,10:45,11:00,MW,41.484
2023-03-18,11:00,11:15,MW,93.52
2023-03-18,11:15,11:30,MW,197.78
2023-03-18,11:30,11:45,MW,562.72
2023-03-18,11:45,12:00,MW,114.052
2023-03-18,12:00,12:15,MW,26.72
2023-03-18,12:15,12:30,MW,308.108
2023-03-18,12:30,12:45,MW,415.94
2023-03-18,12:45,13:00,MW,657.364
2023-03-18,13:00,13:15,MW,121.044
2023-03-18,13:15,13:30,MW,700.068
2023-03-18,13:30,13:45,MW,392.3
2023-03-18,13:45,14:00,MW,505.692
2023-03-18,14:00,14:15,MW,20.152
2023-03-18,14:15,14:30,MW,9.02
2023-03-18,14:30,14:45,MW,0
2023-03-18,14:45,15:00,MW,5.736
2023-03-18,15:00,15:15,MW,307.68
2023-03-18,15:15,15:30,MW,20.508
2023-03-18,15:30,15:45,MW,0
2023-03-18,15:45,16:00,MW,0
2023-03-18,16:00,16:15,MW,26.072
2023-03-18,16:15,16:30,MW,97.964
2023-03-18,16:30,16:45,MW,13.396
2023-03-18,16:45,17:00,MW,54.024
2023-03-18,17:00,17:15,MW,761.284
2023-03-18,17:15,17:30,MW,530.784
2023-03-18,17:30,17:45,MW,214.184
2023-03-18,17:45,18:00,MW,20.232
2023-03-18,18:00,18:15,MW,972.996
2023-03-18,18:15,18:30,MW,422.624
2023-03-18,18:30,18:45,MW,33.9
2023-03-18,18:45,19:00,MW,0
2023-03-18,19:00,19:15,MW,89.104
2023-03-18,19:15,19:30,MW,163.36
2023-03-18,19:30,19:45,MW,317.832
2023-03-18,19:45,20:00,MW,461.872
2023-03-18,20:00,20:15,MW,313.7
2023-03-18,20:15,20:30,MW,156.088
2023-03-18,20:30,20:45,MW,187.72
2023-03-18,20:45,21:00,MW,190.468
2023-03-18,21:00,21:15,MW,22.928
2023-03-18,21:15,21:30,MW,102.008
2023-03-18,21:30,21:45,MW,240.04
2023-03-18,21:45,22:00,MW,510.132
2023-03-18,22:00,22:15,MW,374.136
2023-03-18,22:15,22:30,MW,452.952
2023-03-18,22:30,22:45,MW,468.176
2023-03-18,22:45,23:00,MW,367.088
2023-03-18,23:00,23:15,MW,588.556
2023-03-18,23:15,23:30,MW,536.704
2023-03-18,23:30,23:45,MW,209.84
2023-03-18,23:45,00:00,MW,188.58
2023-03-19,00:00,00:15,MW,66.488
2023-03-19,00:15,00:30,MW,372.232
2023-03-19,00:30,00:45,MW,467.304
2023-03-19,00:45,01:00,MW,125.612
2023-03-19,01:00,01:15,MW,0.000028
2023-03-19,01:15,01:30,MW,0.000012
2023-03-19,01:30,01:45,MW,0
2023-03-19,01:45,02:00,MW,0
2023-03-19,02:00,02:15,MW,0
2023-03-19,02:15,02:30,MW,29.56
2023-03-19,02:30,02:45,MW,156.832
2023-03-19,02:45,03:00,MW,238.224
2023-03-19,03:00,03:15,MW,17.592
2023-03-19,03:15,03:30,MW,4.992
2023-03-19,03:30,03:45,MW,7.236
2023-03-19,03:45,04:00,MW,8.876
2023-03-19,04:00,04:15,MW,22.028
2023-03-19,04:15,04:30,MW,32.336
2023-03-19,04:30,04:45,MW,21.048
2023-03-19,04:45,05:00,MW,3.724
2023-03-19,05:00,05:15,MW,1.516
2023-03-19,05:15,05:30,MW,7.848
2023-03-19,05:30,05:45,MW,5.136
2023-03-19,05:45,06:00,MW,0.0005
2023-03-19,06:00,06:15,MW,0
2023-03-19,06:15,06:30,MW,3.712
2023-03-19,06:30,06:45,MW,19.072
2023-03-19,06:45,07:00,MW,21.764
2023-03-19,07:00,07:15,MW,5.688
2023-03-19,07:15,07:30,MW,0.000364
2023-03-19,07:30,07:45,MW,0.000076
2023-03-19,07:45,08:00,MW,0
2023-03-19,08:00,08:15,MW,2.508
2023-03-19,08:15,08:30,MW,6.312
2023-03-19,08:30,08:45,MW,2.568
2023-03-19,08:45,09:00,MW,0.000072
2023-03-19,09:00,09:15,MW,0.00002
2023-03-19,09:15,09:30,MW,0.000008
2023-03-19,09:30,09:45,MW,1.608
2023-03-19,09:45,10:00,MW,13.004
2023-03-19,10:00,10:15,MW,61.976
2023-03-19,10:15,10:30,MW,58.764
2023-03-19,10:30,10:45,MW,237.284
2023-03-19,10:45,11:00,MW,230.256
2023-03-19,11:00,11:15,MW,18.612
2023-03-19,11:15,11:30,MW,17.484
2023-03-19,11:30,11:45,MW,5.392
2023-03-19,11:45,12:00,MW,72.42
2023-03-19,12:00,12:15,MW,201.544
2023-03-19,12:15,12:30,MW,396.14
2023-03-19,12:30,12:45,MW,324
2023-03-19,12:45,13:00,MW,339.264
2023-03-19,13:00,13:15,MW,344.588
2023-03-19,13:15,13:30,MW,99.564
2023-03-19,13:30,13:45,MW,47.128
2023-03-19,13:45,14:00,MW,0.000164
2023-03-19,14:00,14:15,MW,0.000012
2023-03-19,14:15,14:30,MW,0
2023-03-19,14:30,14:45,MW,0
