Time,Starthour,Endhour,Unit,Data
2023-03-18,14:30,14:45,MW,128.392
2023-03-18,14:45,15:00,MW,10.152
2023-03-18,15:00,15:15,MW,0
2023-03-18,15:15,15:30,MW,10.784
2023-03-18,15:30,15:45,MW,62.288
2023-03-18,15:45,16:00,MW,169.704
2023-03-18,16:00,16:15,MW,0.000012
2023-03-18,16:15,16:30,MW,3.152
2023-03-18,16:30,16:45,MW,82.064
2023-03-18,16:45,17:00,MW,10.3
2023-03-18,17:00,17:15,MW,0
2023-03-18,17:15,17:30,MW,1.016
2023-03-18,17:30,17:45,MW,0.000056
2023-03-18,17:45,18:00,MW,0
2023-03-18,18:00,18:15,MW,0
2023-03-18,18:15,18:30,MW,0
2023-03-18,18:30,18:45,MW,0.000008
2023-03-18,18:45,19:00,MW,0
2023-03-18,19:00,19:15,MW,0
2023-03-18,19:15,19:30,MW,0
2023-03-18,19:30,19:45,MW,0
2023-03-18,19:45,20:00,MW,0
2023-03-18,20:00,20:15,MW,0
2023-03-18,20:15,20:30,MW,0
2023-03-18,20:30,20:45,MW,0
2023-03-18,20:45,21:00,MW,0
2023-03-18,21:00,21:15,MW,2.44
2023-03-18,21:15,21:30,MW,19.792
2023-03-18,21:30,21:45,MW,4.7
2023-03-18,21:45,22:00,MW,0
2023-03-18,22:00,22:15,MW,0
2023-03-18,22:15,22:30,MW,0
2023-03-18,22:30,22:45,MW,0
2023-03-18,22:45,23:00,MW,0
2023-03-18,23:00,23:15,MW,0
2023-03-18,23:15,23:30,MW,0
2023-03-18,23:30,23:45,MW,0
2023-03-18,23:45,00:00,MW,0
2023-03-19,00:00,00:15,MW,0
2023-03-19,00:15,00:30,MW,0.000004
2023-03-19,00:30,00:45,MW,0
2023-03-19,00:45,01:00,MW,0
2023-03-19,01:00,01:15,MW,41.608
2023-03-19,01:15,01:30,MW,40.144
2023-03-19,01:30,01:45,MW,34.224
2023-03-19,01:45,02:00,MW,12.744
2023-03-19,02:00,02:15,MW,6.108
2023-03-19,02:15,02:30,MW,0.000584
2023-03-19,02:30,02:45,MW,0
2023-03-19,02:45,03:00,MW,0
2023-03-19,03:00,03:15,MW,0.000024
2023-03-19,03:15,03:30,MW,2.252
2023-03-19,03:30,03:45,MW,0
2023-03-19,03:45,04:00,MW,5.788
2023-03-19,04:00,04:15,MW,24.512
2023-03-19,04:15,04:30,MW,1.076
2023-03-19,04:30,04:45,MW,0.000904
2023-03-19,04:45,05:00,MW,28.068
2023-03-19,05:00,05:15,MW,3.608
2023-03-19,05:15,05:30,MW,1.636
2023-03-19,05:30,05:45,MW,15.632
2023-03-19,05:45,06:00,MW,82.604
2023-03-19,06:00,06:15,MW,165.388
2023-03-19,06:15,06:30,MW,10.016
2023-03-19,06:30,06:45,MW,0.000012
2023-03-19,06:45,07:00,MW,0
2023-03-19,07:00,07:15,MW,71.908
2023-03-19,07:15,07:30,MW,58.684
2023-03-19,07:30,07:45,MW,62.464
2023-03-19,07:45,08:00,MW,0.000072
2023-03-19,08:00,08:15,MW,0.000004
2023-03-19,08:15,08:30,MW,2.684
