Time,Nominal,Moderate,Data
1.140000000000000000e+02,1.523786370602973079e+02,1.315215384615384835e+02,1.589908941376974951e+02
1.150000000000000000e+02,1.433880467418686919e+02,1.258217307692307401e+02,1.489570378728228093e+02
1.150000000000000000e+02,1.433880467418686919e+02,1.258217307692307401e+02,1.489570378728228093e+02
1.150000000000000000e+02,1.433880467418686919e+02,1.258217307692307401e+02,1.489570378728228093e+02
1.150000000000000000e+02,1.433880467418686919e+02,1.258217307692307401e+02,1.489570378728228093e+02
1.160000000000000000e+02,1.216558070315716122e+02,1.120440384615384062e+02,1.247029942734882297e+02
1.160000000000000000e+02,1.216558070315716122e+02,1.120440384615384062e+02,1.247029942734882297e+02
1.160000000000000000e+02,1.216558070315716122e+02,1.120440384615384062e+02,1.247029942734882297e+02
1.160000000000000000e+02,1.216558070315716122e+02,1.120440384615384062e+02,1.247029942734882297e+02
1.170000000000000000e+02,1.051794787368895783e+02,1.015984615384615211e+02,1.063147567911443048e+02
1.170000000000000000e+02,1.051794787368895783e+02,1.015984615384615211e+02,1.063147567911443048e+02
1.170000000000000000e+02,1.051794787368895783e+02,1.015984615384615211e+02,1.063147567911443048e+02
1.170000000000000000e+02,1.051794787368895783e+02,1.015984615384615211e+02,1.063147567911443048e+02
1.180000000000000000e+02,9.308150938333906765e+01,9.392865384615386404e+01,9.281294197242598898e+01
1.180000000000000000e+02,9.308150938333906765e+01,9.392865384615386404e+01,9.281294197242598898e+01
1.180000000000000000e+02,9.308150938333906765e+01,9.392865384615386404e+01,9.281294197242598898e+01
1.180000000000000000e+02,9.308150938333906765e+01,9.392865384615386404e+01,9.281294197242598898e+01
1.190000000000000000e+02,8.409759246775831798e+01,8.823307692307693628e+01,8.278653349046669518e+01
1.190000000000000000e+02,8.409759246775831798e+01,8.823307692307693628e+01,8.278653349046669518e+01
1.190000000000000000e+02,8.409759246775831798e+01,8.823307692307693628e+01,8.278653349046669518e+01
1.190000000000000000e+02,8.409759246775831798e+01,8.823307692307693628e+01,8.278653349046669518e+01
1.200000000000000000e+02,7.509790205453731460e+01,8.252749999999998920e+01,7.274252115798024931e+01
1.200000000000000000e+02,7.509790205453731460e+01,8.252749999999998920e+01,7.274252115798024931e+01
1.200000000000000000e+02,7.509790205453731460e+01,8.252749999999998920e+01,7.274252115798024931e+01
1.200000000000000000e+02,7.509790205453731460e+01,8.252749999999998920e+01,7.274252115798024931e+01
1.210000000000000000e+02,6.971701600377303976e+01,7.911615384615386404e+01,6.673723837912100976e+01
1.210000000000000000e+02,6.971701600377303976e+01,7.911615384615386404e+01,6.673723837912100976e+01
1.210000000000000000e+02,6.971701600377303976e+01,7.911615384615386404e+01,6.673723837912100976e+01
1.210000000000000000e+02,6.971701600377303976e+01,7.911615384615386404e+01,6.673723837912100976e+01
1.220000000000000000e+02,6.654805966055550925e+01,7.710711538461536918e+01,6.320055710110398195e+01
1.220000000000000000e+02,6.654805966055550925e+01,7.710711538461536918e+01,6.320055710110398195e+01
1.220000000000000000e+02,6.654805966055550925e+01,7.710711538461536918e+01,6.320055710110398195e+01
1.220000000000000000e+02,6.654805966055550925e+01,7.710711538461536918e+01,6.320055710110398195e+01
